cedula,nombre,totalCompradoAnual,puntos
1922847361,Daniela Brigitte Coello,293.84,293
1726493021,Álvaro Sebastián Proaño,286.11,286
1917483920,Priscila Elizabeth Yánez,310.35,310
1106948371,Manuel Mesías Guachamín,291.47,291
1825948372,Evelyn Vanessa Freire,247.64,247
1704958371,Óscar Danilo Valarezo,330.66,330
1207493821,Jéssica Paola Mendoza,318.87,318
1506948372,Rodrigo Alfonso Chango,321.59,321
1924958371,Miriam Janet Escalante,341.93,341
1719483721,Gonzalo Mauricio Cadena,284.5,384
1106948371,Paulina Elizabeth Sarango,270.78,270
1605948372,Segundo Bartolo Yuquilema,346.36,346
1316948371,Gema María Loor,329.87,329
1206948372,Clara Inés Viteri,325.39,325
1916948372,Julio César Villagómez,298.8,298
1727493821,Andrea del Pilar Cevallos,310.99,310
1806948372,Freddy Washington Mina,274.59,274
2404958371,Gisella Fernanda Tomalá,308.14,308
1006948372,Iván Marcelo Imbaquingo,293.41,293
1307948371,Nancy Susana Encalada,358.05,358
1714958372,Marcelo Fabián Endara,303.83,303
1204859301,Lorena del Carmen Solórzano,315.32,315
1909483721,César Enrique Morán,318.58,318
2205948371,Mayra Alejandra Chimborazo,314.32,314
1725948371,Edisson Vinicio Jácome,295.4,395
1102948371,Nixon Geovanny Pardo,302.22,302
1501847362,Jorge Washington Ayala,320.01,320
1803948371,Héctor Rolando Gavilánez,268.91,368
1701847362,Sandra Elizabeth Granda,336.94,336
1303948371,Klever Leonel Zambrano,277.73,277
1920948372,Esther Noemí Figueroa,291.19,291
1723495812,Fabian Marcelo Valencia,298.43,298
1915948371,Rosa María Tumbaco,294.93,294
1103948371,Luis Alfredo Pintado,286.46,286
1823948371,Fanny Yolanda Lalaleo,286.05,286
1703948371,Marcos Antonio Coronel,289.81,289
1203948371,María Augusta Zambrano,310.84,310
1505948371,José Luis Latacunga,354.19,354
1925948372,Ángela María Alarcón,343.33,343
1713948371,Edwin Patricio Flores,274.22,374
1107948372,Yolanda Beatriz Guerrero,324.29,324
1602948371,José Manuel Naula,350.37,350
1313948371,Ramon Antonio Moreira,272.35,272
1202948371,Gisela María Gaibor,278.16,278
1911948372,Pedro Pablo Mendoza,286.33,286
1721948371,Isabel María Carrasco,257.27,257
1802948371,Víctor Hugo Estupiñán,337.12,337
2401948371,Katiuska Alexandra Reyes,327.58,327
1002948371,Byron Geovanny Muenala,324.19,324
1302948371,Ruth Elizabeth Morocho,372.45,372
1712948372,Luis Fernando Vallejo,299.48,299
1202948371,Fanny Esperanza Vera,270.98,270
1906948372,Juan Carlos Campoverde,309.87,309
2202948371,Rosa Elena Guaman,297.48,297
1722948371,Fausto Vinicio Cárdenas,323.64,323
1101948372,Luz María Chamba,299.31,299
1502948371,Carlos Alfredo Vega,313.44,313
1802948372,Silvia Elena Galarza,266.46,266
1702948371,Nelson Ramiro Aguilar,323.93,323
1302948371,Carmen Alicia Párraga,284.55,284
1919948372,Evelyn Johanna Barzola,269.89,269
1720948371,Galo Mauricio Benítez,323.33,323
